FCI,slug,nazov,vyska_verejna,hmotnost_verejna,sekcia_verejna,image_url,zistenia,obrazok_http_status,obrazok_content_type
149,anglicky-buldog,Anglický buldog,,23–25 kg,Molosoidné plemená – mastifový typ,/media/articles/2026/ff4aa84e-bab0-41e9-86e3-f3e24c80f8a2.webp,chybajuca verejna vyska; editorial_complete=0,200,image/webp
264,anglicky-mastif,Anglický mastif,,,Molosoidné plemená – mastifový typ,/media/articles/2026/59315db2-ce30-4b0b-bb21-1153218c3c3d.webp,chybajuca verejna vyska; chybajuca verejna hmotnost; editorial_complete=0,200,image/webp
46,appenzellsky-salasnicky-pes,Appenzellský salašnícky pes,50–56 cm,,Švajčiarske salašnícke a pastierske psy,/media/articles/2026/1f54aa49-5877-44bf-9681-b168f52d2012.webp,chybajuca verejna hmotnost; editorial_complete=0,200,image/webp
292,argentinska-doga,Argentínska doga,60–68 cm,40–45 kg,Molosoidné plemená – mastifový typ,/media/articles/2026/60a60689-700e-4a15-8b97-668fe0b042a1.webp,editorial_complete=0,200,image/webp
340,azorsky-dobytkarsky-pes,Azorský dobytkársky pes,48–60 cm,20–35 kg,Molosoidné plemená – mastifový typ,/media/articles/2026/e5f2cdd4-14e5-4317-8471-62f3be0c05e2.webp,editorial_complete=0,200,image/webp
45,bernsky-salasnicky-pes,Bernský salašnícky pes,58–70 cm,36–52 kg,Švajčiarske salašnícke a pastierske psy,/images/breeds/bernsky-salasnicky-pes.webp,editorial_complete=0,200,image/webp
116,bordeauxska-doga,Bordeauxská doga,58–68 cm,45–50 kg,Molosoidné plemená – mastifový typ,/media/articles/2026/85b7e685-2be8-485f-89fa-6149c1425056.png,editorial_complete=0,200,image/png
144,boxer,Boxer,53–63 cm,25–30 kg,Molosoidné plemená – mastifový typ,/media/articles/2026/ef0b6af9-fa12-4466-bc2d-d233a8d9bbec.webp,editorial_complete=0,200,image/webp
182,bradac,Bradáč,45–50 cm,14–20 kg,Bradáče,/media/articles/2026/98361113-1521-42be-be7d-e810f76cc1d2.webp,editorial_complete=0,200,image/webp
315,broholmer,Broholmer,70–75 cm,40–70 kg,Molosoidné plemená – mastifový typ,/media/articles/2026/55614061-bbc0-4fcf-b632-fb330f3a9776.png,editorial_complete=0,200,image/png
157,bullmastiff,Bullmastiff,61–69 cm,41–59 kg,Molosoidné plemená – mastifový typ,/media/articles/2026/0228f627-e498-44ac-8f17-0cd6e3b4f69a.png,editorial_complete=0,200,image/png
343,cane-corso-italiano,Cane Corso Italiano,60–68 cm,40–50 kg,Molosoidné plemená – mastifový typ,/media/articles/2026/9fce5c6f-c03d-4391-84ed-15e331a7fec8.png,editorial_complete=0,200,image/png
353,cimarron-uruguayo,Cimarrón Uruguayo,55–61 cm,33–45 kg,Molosoidné plemená – mastifový typ,/media/articles/2026/cdebfe3f-8de2-4e31-acaf-23226ab9b484.png,editorial_complete=0,200,image/png
143,doberman,Doberman,63–72 cm,32–45 kg,Pinče,/media/articles/2026/96691785-c832-4432-a2a0-021172dd85a8.png,editorial_complete=0,200,image/png
